positive,negative
absah,abnormal
absolut,absurd
acuan,acak
afdol,acak-acakan
ahli,acuh
akademisi,acuh tak acuh
akan bayar,adiktif
akbar,adil
akrab,agresi
aktif,agresif
aktualisasi,agresor
akur,aib
akurat,air terjun
alami,akurat
alamiah,alarm
alhamdulillah,alasan
alim,alat permainan
alim ulama,alergi
amal,alergik
amal jariah,amat ketakutan
aman,amat panas
aman-aman,ambigu
amboi,ambivalen
ampuh,ambivalensi
anak emas,amoral
andal,amoralitas
andalan,ampun
anggukan,amuk
anggun,anak nakal
animo,anak yatim
anjuran,anarki
anteng,anarkis
antusias,anarkisme
antusiasme,ancaman
anugrah,aneh
apresiasi,aneh lagi
arahan,anehnya
atensi,angkuh
ayo,angriness
bagus,anjing
bahagia,anjlok
bahagiakan,anomali
bahagian,antagonis
bahu-membahu,antagonisme
baik,antek
baik-baik,anti-
bajik,anti-Amerika
bakat,anti-Israel
bakti,anti-kita
bala bantuan,anti-pendudukan
balas budi,anti-proliferasi
balas jasa,anti-putih
bangga,anti-Semit
bangkit,antipati
bantu,antisosial
bantuan,antitesis
banyak,apak
banyak-banyak,apati
beasiswa,apatis
bebas banjir,apek
bebas hambatan,apokaliptik
bebas murni,apologis
becus,argumentatif
bekal,artinya jika
beken,asam
bekerja keras,asap
bekerja sama,asem
belajar,asing
belas kasih,astaghfirullah
benah,asusila
benar,awan
bening,awas
berakal,babi
berakhlak,badai
beramal,bahan tertawaan
beraneka ragam,bahaya
berangkulan,bajingan
berani,baju kotor
berbagi,balas dendam
berbahagia,bandel
berbaikan,bandot
berbakat,bangkrut
berbakti,bantingan
berbangga,banyak sekali
berbinar-binar,barang ganjil
berbobot,barbar
berbudaya,basi
berbudi,bau
berbunga-bunga,bawahan
bercahaya,bebal
berdamai,beban
berdaulat,bejat
berdaya,bekas
berdaya guna,bekas luka
berdaya upaya,bekas roda
berdecak kagum,beku
berdikari,belah
berempati,belum dewasa
beretika,belum dicoba
beretiket,belum dikonfirmasi
berfaedah,belum pasti
berfungsi,belum selesai
bergandengan,benar-benar
bergizi,bencana
bergotong-royong,bencana alam
berguna,benci
berhadiah,bengah
berharap,bengis
berharga,bengkak
berhasil,bengkeng
berhemat,bengkok
berihtiar,benjolan
berijtihad,bentrokan
berikhtiar,beracun
berikrar,beradab
beriktikad,berakhir
beriman,berang
berimbang,berani
berinisiatif,berantakan
berinovasi,berat
beritikad,berat sebelah
berjaya,berawan
berkembang pesat,berbahaya
berkesinambungan,berbatu-batu
berkhasiat,berbau
berkibar,berbeda
berkontribusi,berbisa
berkoordinasi,berbohong
berkreasi,berbuat curang
berkualitas,berbuat jahat
berlimpah,berbuat salah
bermaaf-maafan,berbuih
bermanfaat,bercacat
berminat,berdalih
bermoral,berdarah
bermusyawarah,berdasar
berniat,berdaya
berolah raga,berdebar
berpeluang,berdebat
berpelukan,berdebu
berpengalaman,berdengung
berprestasi,berdenyut
bersabar,berdenyut-denyut
bersahabat,berderak
bersahaja,berderit
